"","k","initialization","lr","gamma","max.iter","verbose","E.in","E.out"
"69",34,0.1,0.0015,0.02,50,FALSE,0.796482087466143,0.921817621829087
"70",38,0.1,0.0015,0.02,50,FALSE,0.795588516340441,0.92153739894214
"71",2,0.1,0.002,0.02,50,FALSE,0.785873520568681,0.932401009691191
"72",6,0.1,0.002,0.02,50,FALSE,0.774559129258796,0.929344897651264
"73",10,0.1,0.002,0.02,50,FALSE,0.771007490019927,0.927565725373315
"74",14,0.1,0.002,0.02,50,FALSE,0.770088037131074,0.926473530589808
"75",18,0.1,0.002,0.02,50,FALSE,0.770384522488876,0.925909809052235
"76",22,0.1,0.002,0.02,50,FALSE,0.772223422645412,0.925652902715596
"77",26,0.1,0.002,0.02,50,FALSE,0.77355361582123,0.925075447137509
"78",30,0.1,0.002,0.02,50,FALSE,0.771591951424578,0.923440418280393
"79",34,0.1,0.002,0.02,50,FALSE,0.770806388201672,0.921230926699766
"80",38,0.1,0.002,0.02,50,FALSE,0.772645136321335,0.920770054259455
"81",2,0.1,5e-04,0.03,50,FALSE,0.825659822508492,0.933992413109306
"82",6,0.1,5e-04,0.03,50,FALSE,0.818096620176427,0.928965669656434
"83",10,0.1,5e-04,0.03,50,FALSE,0.815930657937121,0.927571998088914
"84",14,0.1,5e-04,0.03,50,FALSE,0.81517330359814,0.92715194014318
"85",18,0.1,5e-04,0.03,50,FALSE,0.814993196550708,0.927146915486934
"86",22,0.1,5e-04,0.03,50,FALSE,0.815087794881846,0.927351295644857
"87",26,0.1,5e-04,0.03,50,FALSE,0.815315805025462,0.927668514888742
"88",30,0.1,5e-04,0.03,50,FALSE,0.815602224354034,0.92804771212082
"89",34,0.1,5e-04,0.03,50,FALSE,0.815904855657621,0.928460921713069
"90",38,0.1,5e-04,0.03,50,FALSE,0.816199900598021,0.928892979660081
"91",2,0.1,0.001,0.03,50,FALSE,0.813674276156648,0.92989225349909
"92",6,0.1,0.001,0.03,50,FALSE,0.808759684449108,0.926248059207678
"93",10,0.1,0.001,0.03,50,FALSE,0.807437480392549,0.925034337471248
"94",14,0.1,0.001,0.03,50,FALSE,0.807022400814243,0.924495582094148
"95",18,0.1,0.001,0.03,50,FALSE,0.806920357364446,0.924244527989543
"96",22,0.1,0.001,0.03,50,FALSE,0.806887825714443,0.924122203380755
"97",26,0.1,0.001,0.03,50,FALSE,0.806802046691011,0.924048716863711
"98",30,0.1,0.001,0.03,50,FALSE,0.806602555217552,0.923985130038375
"99",34,0.1,0.001,0.03,50,FALSE,0.806270940220074,0.923919538670367
"100",38,0.1,0.001,0.03,50,FALSE,0.805822068275949,0.923861196692233
"101",2,0.1,0.0015,0.03,50,FALSE,0.798942814069258,0.929558509864011
"102",6,0.1,0.0015,0.03,50,FALSE,0.794817127529038,0.926302088914908
"103",10,0.1,0.0015,0.03,50,FALSE,0.794280010293366,0.924813939472597
"104",14,0.1,0.0015,0.03,50,FALSE,0.794746550926128,0.923941446481078
"105",18,0.1,0.0015,0.03,50,FALSE,0.795544160254535,0.923377000610954
"106",22,0.1,0.0015,0.03,50,FALSE,0.79630022430083,0.922959183946541
"107",26,0.1,0.0015,0.03,50,FALSE,0.796793183284724,0.922579361422543
"108",30,0.1,0.0015,0.03,50,FALSE,0.79689072259446,0.922189214159692
"109",34,0.1,0.0015,0.03,50,FALSE,0.796487091770354,0.921815394217136
"110",38,0.1,0.0015,0.03,50,FALSE,0.795592694469977,0.921534326291799
"111",2,0.1,0.002,0.03,50,FALSE,0.785889855271628,0.932398651418038
"112",6,0.1,0.002,0.03,50,FALSE,0.774605479970526,0.929341880536396
"113",10,0.1,0.002,0.03,50,FALSE,0.771043630347338,0.927562445164763
"114",14,0.1,0.002,0.03,50,FALSE,0.770122926349988,0.92646950059712
"115",18,0.1,0.002,0.03,50,FALSE,0.77041928296039,0.925903860489935
"116",22,0.1,0.002,0.03,50,FALSE,0.772258896627957,0.925645147507361
"117",26,0.1,0.002,0.03,50,FALSE,0.773585371695543,0.925066276218217
"118",30,0.1,0.002,0.03,50,FALSE,0.771627437720867,0.923432000792337
"119",34,0.1,0.002,0.03,50,FALSE,0.770845718823189,0.921226707446349
"120",38,0.1,0.002,0.03,50,FALSE,0.772676513314151,0.920763489764103
