"","k","initialization","lr","gamma","max.iter","verbose","Ein","Eout"
"69",34,0.1,0.0015,0.02,10,FALSE,0.864254254724731,0.966753205719199
"70",38,0.1,0.0015,0.02,10,FALSE,0.875587570370522,0.977155159062122
"71",2,0.1,0.002,0.02,10,FALSE,0.839279072999655,0.942363013732362
"72",6,0.1,0.002,0.02,10,FALSE,0.835767700235031,0.939504376453451
"73",10,0.1,0.002,0.02,10,FALSE,0.834161814975756,0.938343714274737
"74",14,0.1,0.002,0.02,10,FALSE,0.834472415359071,0.938887320367588
"75",18,0.1,0.002,0.02,10,FALSE,0.836697364212153,0.941132237558239
"76",22,0.1,0.002,0.02,10,FALSE,0.84082146183146,0.945066338068446
"77",26,0.1,0.002,0.02,10,FALSE,0.846816958661079,0.950668647472548
"78",30,0.1,0.002,0.02,10,FALSE,0.854644468184919,0.957909892961004
"79",34,0.1,0.002,0.02,10,FALSE,0.864254211789832,0.966753243222254
"80",38,0.1,0.002,0.02,10,FALSE,0.875587507704871,0.977155197894101
"81",2,0.1,5e-04,0.03,10,FALSE,0.839279073090373,0.942363021365591
"82",6,0.1,5e-04,0.03,10,FALSE,0.835767699638254,0.939504388778709
"83",10,0.1,5e-04,0.03,10,FALSE,0.834161814336069,0.938343719612671
"84",14,0.1,5e-04,0.03,10,FALSE,0.834472417480545,0.938887310050256
"85",18,0.1,5e-04,0.03,10,FALSE,0.836697374009057,0.941132206003927
"86",22,0.1,5e-04,0.03,10,FALSE,0.840821486231628,0.945066282800025
"87",26,0.1,5e-04,0.03,10,FALSE,0.846817006467138,0.950668569079097
"88",30,0.1,5e-04,0.03,10,FALSE,0.854644549901304,0.957909795005571
"89",34,0.1,5e-04,0.03,10,FALSE,0.864254339425369,0.966753132101453
"90",38,0.1,5e-04,0.03,10,FALSE,0.875587694561397,0.977155082657406
"91",2,0.1,0.001,0.03,10,FALSE,0.839279073064329,0.942363019175725
"92",6,0.1,0.001,0.03,10,FALSE,0.835767699789633,0.939504385650344
"93",10,0.1,0.001,0.03,10,FALSE,0.834161814369868,0.938343719330575
"94",14,0.1,0.001,0.03,10,FALSE,0.834472416380894,0.938887315397368
"95",18,0.1,0.001,0.03,10,FALSE,0.83669737005444,0.941132218734474
"96",22,0.1,0.001,0.03,10,FALSE,0.840821477025968,0.945066303631527
"97",26,0.1,0.001,0.03,10,FALSE,0.846816988985004,0.950668597703383
"98",30,0.1,0.001,0.03,10,FALSE,0.854644520544632,0.957909830117872
"99",34,0.1,0.001,0.03,10,FALSE,0.864254294088433,0.966753171445701
"100",38,0.1,0.001,0.03,10,FALSE,0.875587628700545,0.977155123085125
"101",2,0.1,0.0015,0.03,10,FALSE,0.839279073038296,0.942363016985498
"102",6,0.1,0.0015,0.03,10,FALSE,0.83576769994101,0.939504382523313
"103",10,0.1,0.0015,0.03,10,FALSE,0.834161814403635,0.938343719048757
"104",14,0.1,0.0015,0.03,10,FALSE,0.834472415283236,0.938887320736516
"105",18,0.1,0.0015,0.03,10,FALSE,0.83669736611027,0.941132231440375
"106",22,0.1,0.0015,0.03,10,FALSE,0.840821467852162,0.94506632441515
"107",26,0.1,0.0015,0.03,10,FALSE,0.846816971577575,0.950668626254936
"108",30,0.1,0.0015,0.03,10,FALSE,0.854644491337145,0.957909865138748
"109",34,0.1,0.0015,0.03,10,FALSE,0.864254249018391,0.966753210696375
"110",38,0.1,0.0015,0.03,10,FALSE,0.875587563280233,0.977155163446343
"111",2,0.1,0.002,0.03,10,FALSE,0.839279073012273,0.94236301479491
"112",6,0.1,0.002,0.03,10,FALSE,0.835767700092388,0.939504379397617
"113",10,0.1,0.002,0.03,10,FALSE,0.83416181443737,0.938343718767215
"114",14,0.1,0.002,0.03,10,FALSE,0.834472414187565,0.938887326067716
"115",18,0.1,0.002,0.03,10,FALSE,0.836697362176503,0.941132244121702
"116",22,0.1,0.002,0.03,10,FALSE,0.840821458710041,0.945066345151074
"117",26,0.1,0.002,0.03,10,FALSE,0.846816954244357,0.950668654734068
"118",30,0.1,0.002,0.03,10,FALSE,0.854644462277665,0.957909900068589
"119",34,0.1,0.002,0.03,10,FALSE,0.864254204212789,0.96675324985375
"120",38,0.1,0.002,0.03,10,FALSE,0.875587498295844,0.977155203740814
