"k","initialization","lr","gamma","max.iter","verbose","E.in","E.out"
14,0.1,0.002,0.02,10,FALSE,0.817094123524525,0.928058058494854
18,0.1,0.002,0.02,10,FALSE,0.816993670180171,0.928164096811829
22,0.1,0.002,0.02,10,FALSE,0.817231409544654,0.928519851819401
26,0.1,0.002,0.02,10,FALSE,0.817647502866152,0.929014822981368
30,0.1,0.002,0.02,10,FALSE,0.818157056706465,0.929589874112513
34,0.1,0.002,0.02,10,FALSE,0.818711497036719,0.930211252557413
38,0.1,0.002,0.02,10,FALSE,0.819282051487143,0.930859279925297
2,0.1,5e-04,0.03,10,FALSE,0.836355321960381,0.940330852894635
6,0.1,5e-04,0.03,10,FALSE,0.829692231637249,0.935426343042748
10,0.1,5e-04,0.03,10,FALSE,0.826715234659404,0.933463218347528
14,0.1,5e-04,0.03,10,FALSE,0.82608556073796,0.933374750252849
18,0.1,5e-04,0.03,10,FALSE,0.827007461001939,0.934529375093367
22,0.1,5e-04,0.03,10,FALSE,0.828988667636398,0.936537605446031
26,0.1,5e-04,0.03,10,FALSE,0.831712609020069,0.939149490951541
30,0.1,5e-04,0.03,10,FALSE,0.834968091234207,0.942198418081755
34,0.1,5e-04,0.03,10,FALSE,0.838609396431679,0.945569344658602
38,0.1,5e-04,0.03,10,FALSE,0.842532927798539,0.949180283534869
2,0.1,0.001,0.03,10,FALSE,0.833631021325439,0.938518815337662
6,0.1,0.001,0.03,10,FALSE,0.825633718509826,0.932883381707056
10,0.1,0.001,0.03,10,FALSE,0.822686559256056,0.931027167770918
14,0.1,0.001,0.03,10,FALSE,0.821965273002304,0.930827889108901
18,0.1,0.001,0.03,10,FALSE,0.822372336396681,0.93146894086981
22,0.1,0.001,0.03,10,FALSE,0.823411705307324,0.932585128597083
26,0.1,0.001,0.03,10,FALSE,0.824829468446539,0.933990640135862
30,0.1,0.001,0.03,10,FALSE,0.826482146366206,0.93558043198266
34,0.1,0.001,0.03,10,FALSE,0.828282390777908,0.937290161674273
38,0.1,0.001,0.03,10,FALSE,0.830174075385918,0.939078073739044
2,0.1,0.0015,0.03,10,FALSE,0.830990902799875,0.936875523559337
6,0.1,0.0015,0.03,10,FALSE,0.822659333537475,0.931177046885064
10,0.1,0.0015,0.03,10,FALSE,0.819990126180891,0.929522712190891
14,0.1,0.0015,0.03,10,FALSE,0.81923126059768,0.929225632077074
18,0.1,0.0015,0.03,10,FALSE,0.819318949864164,0.929535076433287
22,0.1,0.0015,0.03,10,FALSE,0.819843624332961,0.930164771573031
26,0.1,0.0015,0.03,10,FALSE,0.820611719767632,0.930979060782135
30,0.1,0.0015,0.03,10,FALSE,0.821518918910014,0.931904102222181
34,0.1,0.0015,0.03,10,FALSE,0.822504180925169,0.93289622392304
38,0.1,0.0015,0.03,10,FALSE,0.823529937382703,0.933928361976079
2,0.1,0.002,0.03,10,FALSE,0.82840260823075,0.935388824748175
6,0.1,0.002,0.03,10,FALSE,0.820287411245536,0.929945203665193
10,0.1,0.002,0.03,10,FALSE,0.817878132446268,0.928437588623024
14,0.1,0.002,0.03,10,FALSE,0.817094424003522,0.928057869342437
18,0.1,0.002,0.03,10,FALSE,0.816992941081125,0.9281630365992
22,0.1,0.002,0.03,10,FALSE,0.817229699639374,0.928517944196138
26,0.1,0.002,0.03,10,FALSE,0.817644856596674,0.929012094094534
30,0.1,0.002,0.03,10,FALSE,0.818153515165256,0.929586350804289
34,0.1,0.002,0.03,10,FALSE,0.818707098351925,0.930206961195588
38,0.1,0.002,0.03,10,FALSE,0.819276831007702,0.930854245771593
